provider_id,provider_name,registration_year,license_number
P1000,Provider_0,2001,LIC93810
P1001,Provider_1,2014,LIC24592
P1002,Provider_2,2023,LIC13278
P1003,Provider_3,2009,LIC46048
P1004,Provider_4,2005,LIC42098
P1005,Provider_5,2002,LIC39256
P1006,Provider_6,2023,LIC28289
P1007,Provider_7,2015,LIC23434
P1008,Provider_8,2001,LIC98696
P1009,Provider_9,2020,LIC81482
P1010,Provider_10,2013,LIC21395
P1011,Provider_11,2017,LIC87397
P1012,Provider_12,2005,LIC65302
P1013,Provider_13,2005,LIC14165
P1014,Provider_14,2018,LIC13905
P1015,Provider_15,2015,LIC22280
P1016,Provider_16,1998,LIC38657
P1017,Provider_17,2002,LIC40495
P1018,Provider_18,2018,LIC76237
P1019,Provider_19,1997,LIC88907
P1020,Provider_20,2016,LIC13478
P1021,Provider_21,2015,LIC83563
P1022,Provider_22,1996,LIC36062
P1023,Provider_23,2018,LIC95181
P1024,Provider_24,2006,LIC81426
P1025,Provider_25,2000,LIC64987
P1026,Provider_26,1996,LIC38893
P1027,Provider_27,2022,LIC68878
P1028,Provider_28,2015,LIC87236
P1029,Provider_29,1995,LIC46463
P1030,Provider_30,2006,LIC10851
P1031,Provider_31,2020,LIC30926
P1032,Provider_32,2016,LIC65392
P1033,Provider_33,2023,LIC54597
P1034,Provider_34,2006,LIC46421
P1035,Provider_35,2019,LIC30379
P1036,Provider_36,2011,LIC38221
P1037,Provider_37,2021,LIC54118
P1038,Provider_38,2021,LIC23396
P1039,Provider_39,2004,LIC22156
P1040,Provider_40,2022,LIC59797
P1041,Provider_41,2022,LIC22676
P1042,Provider_42,2010,LIC57052
P1043,Provider_43,2009,LIC55082
P1044,Provider_44,2009,LIC89131
P1045,Provider_45,2013,LIC44671
P1046,Provider_46,2006,LIC15695
P1047,Provider_47,2017,LIC70217
P1048,Provider_48,2014,LIC80284
P1049,Provider_49,2019,LIC26361
P1050,Provider_50,1997,LIC59615
P1051,Provider_51,1999,LIC20328
P1052,Provider_52,2013,LIC82357
P1053,Provider_53,2001,LIC48427
P1054,Provider_54,2015,LIC92397
P1055,Provider_55,2003,LIC91070
P1056,Provider_56,2001,LIC57400
P1057,Provider_57,2012,LIC85674
P1058,Provider_58,1998,LIC35203
P1059,Provider_59,2019,LIC19116
P1060,Provider_60,2022,LIC16006
P1061,Provider_61,2008,LIC96673
P1062,Provider_62,2012,LIC39871
P1063,Provider_63,2020,LIC47930
P1064,Provider_64,2003,LIC20458
P1065,Provider_65,2020,LIC40512
P1066,Provider_66,2015,LIC23238
P1067,Provider_67,1996,LIC59823
P1068,Provider_68,2014,LIC46434
P1069,Provider_69,2022,LIC69429
P1070,Provider_70,2009,LIC93320
P1071,Provider_71,2022,LIC57819
P1072,Provider_72,2001,LIC31319
P1073,Provider_73,2006,LIC58520
P1074,Provider_74,2023,LIC56566
P1075,Provider_75,2002,LIC37460
P1076,Provider_76,2009,LIC97841
P1077,Provider_77,1997,LIC44993
P1078,Provider_78,2008,LIC99593
P1079,Provider_79,2011,LIC94939
